text,class
RT @maths_exam: 100 Challenging Mathematical Word Problems And Solutions: Assessment Lessons ... https://t.co/1Gcrz7MGeo via @amazon,negative
"RT @grajohnt: When you come up to my door this #Halloween , you get a bad joke from a talking triceratops skull! Made with @arduino, an @ad…",negative
ViView Video Recording Camera Hat Cap Wide An... by ViView https://t.co/mh0ZyoYMtE via @amazon,Neutral
33% OFF #sale #save #wireless #remote @amazon Etekcity Remote Control Outlet Wireless Light Switch for Household Ap… https://t.co/1vM8Fe6c4b,Neutral
14% OFF #sale #save #wirelesscharger #Belkin @amazon Belkin Boost Up Qi Wireless Charging Pad for Samsung (15 W) /… https://t.co/wajGVPohqm,positive
@amazonIN Time + X = Timex @amazonIN @amazon #GreatestFestiveSale https://t.co/58lJK4kT8f,Neutral
"Available exclusively through @amazon October 30, the #StarWars #SmugglersGuide: Notes from the Underworld (Deluxe… https://t.co/LoGAGDI7R7",positive
"RT @SPMiskowski: \Beautifully written and relentlessly suspenseful.\"" - Lucy Taylor https://t.co/wlYTBoz8IJ via @amazon""",Neutral
RT @SPMiskowski: This Is Horror 2017 Novel of the Year https://t.co/sWP9L7KXLQ via @amazon,Neutral
"RT @slpng_giants: Hell, @amazon might stop advertising on Breitbart before this game is over.",negative
RT @SPMiskowski: 2017 Bram Stoker Award Nominee for Superior Achievement in a Novel https://t.co/sWP9L7KXLQ via @amazon,positive
RT @SPMiskowski: Charles Dexter Award for Favorite Novel of 2017 from Strange Aeons Magazine https://t.co/sWP9L7KXLQ via @amazon,positive
"@BOLLYWOULD @GST_Council @askGST_GoI @amazonIN @Flipkart For @amazon, I have registered as Business user, that allo… https://t.co/L5V2oNvfQl",Neutral
"RT @more_orji: @PaisaBazaar_in @amazon Excited for the results of the #PaisaQuiz ! Following @PaisaBazaar_in stories on every platform! 

F…",positive
"RT @schmidmartina1: #Bestseller in \militätische Biografien &amp; Erinnerungen\"":  Die schwärzesten Tage: Flucht aus Pommern 1945 von Martina Sc…""",negative
RT @sandrayearman: Brother Kings ...The Warrior Series...Vol 1... by Sandra J Yearman https://t.co/JZWIp01HQW … via @amazon #series #fantas…,Neutral
RT @LolaMartin67: Zeitzeugenbericht: Krieg u. .. : 1941 - 1948: Die sieben längsten Jahre meines Lebens von K.H. Hartmann https://t.co/rjLl…,negative
"\These 13 eerie stories...will thrill fans of clever horror.\"" - Publishers Weekly Starred Review https://t.co/LwSQPp8xyM via @amazon""",positive
RT @OliverMcGee: @charliekirk11 .@Amazon 2012! “Jumping The Aisle: How I Became a Black Republican in the Age of Obama” by @OliverMcGee htt…,Neutral
RT @AlfaSengupta: The best distressed oriental rugs under $200 on @amazon ! <U+0001F917> https://t.co/Tdpv039fDE This one in my house was under $150 a…,Neutral
"RT @A_Verdaguer: Aquesta setmana la biografia de l'empresari, patriota i mecenes de la cultura catalana #JosepVilaSivill de @RDalmauEditor…",Neutral
Hidden Camera Keychain WiFi DVR Recorder Fu... by Fuvision for $49.99 https://t.co/5bHu7JmZMz via @amazon,Neutral
RT @EdenTrainingUK: We are so happy with our new website we are running a #competition! For a chance to win a £50 @amazon voucher / @Love2s…,positive
RT @UnsolicitedP: Back in stock: To Square a Circle by T.K. Lee for $16.00 https://t.co/6xNW7god9J via @amazon #poetry,Neutral
Charles Dexter Award for Favorite Novel of 2017 from Strange Aeons Magazine https://t.co/sWP9L7KXLQ via @amazon,positive
2017 Bram Stoker Award Nominee for Superior Achievement in a Novel https://t.co/sWP9L7KXLQ via @amazon,positive
This Is Horror 2017 Novel of the Year https://t.co/sWP9L7KXLQ via @amazon,Neutral
"RT @Assnarchist1: @liverpoolmexico @YoSoyArturo17 No compres videojuegos si lo vas a hacer en la tienda en línea, nunca llegan, por mas pro…",Neutral
"RT @MarieLa87033422: @MarkSKrikorian @amazon Thank you for this update on the outrageous #OPT program. Please note, $25 million to Amazon i…",Neutral
"Hidden Spy Camera Pen, Portable Mini Pen Came... by WBESEV https://t.co/JV29NCGEMT via @amazon",positive
RT @EdenTrainingUK: We are so happy with our new website we are running a #competition! For a chance to win a £50 @amazon voucher / @Love2s…,positive
Mordsverlust: Thriller (Dreiflüssekrimi 4) von Natalie Schauer https://t.co/xiF9SKSnbT via @amazon,Neutral
#NotSorry #Sweepstakes @amazon  A: Reece’s Peanut Butter Cups #yumm https://t.co/Hytl4YhtdE,Neutral
"RT @MarkSKrikorian: .@Amazon gets a federal subsidy of about $25 million per year for NOT hiring Americans &amp; hiring foreign \students\"" (who…""",Neutral
@ZakkWyldeBLS @Spotify @iTunes @AppleMusic @amazon @WyldeAudio @DeathWishCoffee @zakk_sabbath @OzzyOsbourne Another reason,Neutral
RT @Plambert001: The Bug Out Gardening Guide: Growing Survival Food When It Absolutely Matters... https://t.co/8pkIUM3lej via @amazon #prep…,Neutral
"@amazonIN Time + X = Timex
@amazonIN @amazon 

#GreatestFestiveSale https://t.co/bLWrPn46IY",Neutral
@EdenTrainingUK @amazon @Love2shop_UK Great site,positive
"“Everyone needs to read this story.” - Gemma Files, The Outer Dark https://t.co/wlYTBoz8IJ via @amazon",negative
RT @EdenTrainingUK: We are so happy with our new website we are running a #competition! For a chance to win a £50 @amazon voucher / @Love2s…,positive
RT @Plambert001: The Solitary Man’s Refuge: Post Apocalyptic Prepper Fiction Dystopia by Ron Foster https://t.co/upsb4DHe5M via @amazon #pr…,negative
"RT @slpng_giants: Hell, @amazon might stop advertising on Breitbart before this game is over.",negative
"\...more than a great read; it is a fascinating meditation on the nature of horror.” - Molly Tanzer https://t.co/wlYTBoz8IJ via @amazon""",positive
"\Beautifully written and relentlessly suspenseful.\"" - Lucy Taylor https://t.co/wlYTBoz8IJ via @amazon""",Neutral
2 libbre (908 grammi) Grado Premium di funghi secchi Champignon dello Yunnan ... https://t.co/mhQ24RXL7u <U+6765><U+81EA> @amazon,Neutral
"<U+300C><U+30D2><U+30FC><U+30ED><U+30FC><U+30DE><U+30CB><U+30A2> -<U+751F><U+6D3B>- DVD<U+30B9><U+30BF><U+30F3><U+30C0><U+30FC><U+30C9>·<U+30A8><U+30C7><U+30A3><U+30B7><U+30E7><U+30F3><U+300D> <U+3092> 2,150 <U+3067>@amazon<U+304B><U+3089><U+51FA><U+54C1><U+3057><U+307E><U+3057><U+305F> https://t.co/jUu7GFffcD",Neutral
Czy byliscie na koncercie #JackWhite podczas jego trasy w Polsce? Jego najnowsza plyte znajdziecie równiez na… https://t.co/NghnhlF78Y,Neutral
"<U+300C><U+30CA><U+30F3><U+30D0><U+30FC><U+30EF><U+30F3> [DVD]<U+300D> <U+3092> 1,312 <U+3067>@amazon<U+304B><U+3089><U+51FA><U+54C1><U+3057><U+307E><U+3057><U+305F> https://t.co/r3iGA74k06",Neutral
RT @EdenTrainingUK: We are so happy with our new website we are running a #competition! For a chance to win a £50 @amazon voucher / @Love2s…,positive
RT @Cost2Build_UK: We're giving away a £20 @amazon gift card. All you have to do to enter is follow us &amp; RT this post. We’ll announce the w…,Neutral
Development Boards &amp; Kits - PIC / DSPIC Line-Following Motor Robot Kit (MRK+L... https://t.co/YlRzFv8DbP via… https://t.co/IcOJtdOUn1,Neutral
ZOOM FOR KINECT XBOX 360 https://t.co/uNt6IXy9zj via @amazon #AmazonGreatIndianFestivalLive #Amazon #AmazonGreatIndianFestivalLive,Neutral
"RT @slpng_giants: Hell, @amazon might stop advertising on Breitbart before this game is over.",negative
F5D7234-4 WIRELESS CABLE/DSL ROUTER Belkin https://t.co/2Rj5IqdU6y via @amazon #AmazonGreatIndianFestivalLive… https://t.co/YqowbU9DZE,Neutral
"Microsoft Windows 7 Professional (32 &amp; 64-bit, Full Version) Microsoft https://t.co/YOsxN1mEhF via @amazon… https://t.co/FoQnitL0NR",Neutral
White clothes hook camera with 1280x960 pixel... by CM3 https://t.co/earVQzmgWb via @amazon,Neutral
F5C400140W - Belkin AC Anywhere 140W Power Inverter 12 V DC - 110 V AC - Cont... https://t.co/f4vJR3alwW via… https://t.co/caPYc0xob5,Neutral
"Native Eyewear Dash Xr Sunglasses - Polarized Iron/gray, One Size Native https://t.co/Hv1XDoyTM7 via @amazon… https://t.co/5CGSMlZ0lw",Neutral
Rowenta DA72 Steam N Press Steambrush Rowenta https://t.co/Hx0puze2E9 via @amazon #AmazonGreatIndianFestivalLive… https://t.co/y2MUNdFhmM,Neutral
"RT @FF_Feldman: Je viens juste de mettre en vente 'Vivant' pour 19,99 via @amazon https://t.co/TQ1LHBXhk3",Neutral
@bol_com But why aren't you able to inform me? I've wasted my day off because of that. Needless to say that i will… https://t.co/9Sid6pGrJe,negative
"RT @cyallowitz: Spend the #weekend with a #vampire action adventure full of #magic &amp; mayhem.

WAR OF NYTEFALL: LOST is now Available!

http…",Neutral
"@amazonIN Time + X = Timex
@amazonIN @amazon 

#GreatestFestiveSale https://t.co/f5OA3IY54L",Neutral
RT @bandung88: Syndicate Smasher [Blu-ray] Blu-ray ~ Mel Novak https://t.co/2haZoPHVi1 via @amazon,Neutral
"Provider of the X-Ware #IoT Platform powered by the ThreadX RTOS @ExpressLogic3, has announced turnkey integration… https://t.co/clDCjsnodH",Neutral
RT @Ubershoes: New in and on @amazon prime right now with £5 off for this week only. Available in 5 colours #Shoes #wedding #prom #bridal #…,positive
Thank You @amazon <U+2764><U+FE0F>,positive
@akaitokei0829 @amazon <U+3048><U+3001>!<U+306A><U+3093><U+3060><U+308D>!<U+3042><U+308A><U+304C><U+3068><U+304A><U+304A>!!,Neutral
"@joncoopertweets No, @Foxnews, @NRATV @INFOWars @theblaze @WSJopinion &amp; the billionaire owners as well as our right… https://t.co/ephZM6LuD8",positive
"RT @slpng_giants: Hell, @amazon might stop advertising on Breitbart before this game is over.",negative
"RT @AmazonEnLucha: Dígale adiós al éxito de ventas de @Amazon
<U+0001F4CC> El gigante del comercio electrónico es conocido por el crecimiento masivo d…",Neutral
"The 47 Best @SharkTankABC Products Under $25 On @Amazon

https://t.co/6czL49Cy9x",positive
A Bricklayer's Tales: A Collection of Short Stories and memoirs (The Ray Denn... https://t.co/WGnxzj02oQ via @amazon,Neutral
$15.99 A #EuropeanBeeEater In #BirdinFlight #TShirt #Clothing #MensTShirts #WomensTShirts #KidsTShirts… https://t.co/st0bivxNc9,Neutral
My dear @amazon again I purchased a #prime #product to be #delivered the day after and again you won't deliver post… https://t.co/ZzywJp8kxX,Neutral
RT @Cost2Build_UK: We're giving away a £20 @amazon gift card. All you have to do to enter is follow us &amp; RT this post. We’ll announce the w…,Neutral
@AmazonHelp @amazon @amazonIN Called customer service on 24th Oct for an issue they said by 31st our team will reso… https://t.co/sAQOtfY5ZU,negative
RT @bandung88: Syndicate Smasher [Blu-ray] Cinema Epoch https://t.co/FRUcstRqlg via @amazon,Neutral
Algebra Practice Sets: 100 Problems And Solutions (Volume 1) (SJ Teacher's Ch... https://t.co/CH6iuEYVYV via @amazon,negative
RT @Pippi_Dust: Only My Chihuahua Understands Me Pink Shirt https://t.co/PnfK6yoPam via @amazon,Neutral
please @amazon  ship the Marvel Collector Corps Box to Europe :(,positive
RT @mfoulk50: Interpol: A Jonas Lange Novel  https://t.co/ThLQRVbEEk via @amazon,Neutral
.@DailyMailUK @OborneTweets says @amazon sales in UK were £8.8 billion but only paid £4.6 million in tax. Disgracef… https://t.co/KuZbK2ZuOB,Neutral
100 Challenging Mathematical Word Problems And Solutions: Assessment Lessons ... https://t.co/1Gcrz7MGeo via @amazon,negative
You are India’s biggest online seller but no customer care??? @amazonIN  @AmazonHelp @amazon,Neutral
RT @bandung88: Syndicate Smasher Cinema Epoch https://t.co/GGQPriAwgw via @amazon,Neutral
"RT @more_orji: @PaisaBazaar_in @amazon Excited for the results of the #PaisaQuiz ! Following @PaisaBazaar_in stories on every platform! 

F…",positive
"RT @Cinema_Epoch: For the first time, @bandung88's and Doug Tochioka's SYNDICATE SMASHER starring Mel Novak, Laurene Landon, David Prak, @o…",Neutral
@gabrielzamora @amazon Y girl what u buy lol can’t relate about money lol most of it goes to the bills lol <U+0001F602> can on… https://t.co/YPy41AoRPQ,Neutral
WISEUP 16GB Wall Mounted Hidden Camera Hook C... by WISEUP https://t.co/3niJnP2cYm via @amazon,Neutral
"RT @Cinema_Epoch: For the first time, @bandung88's and Doug Tochioka's SYNDICATE SMASHER starring Mel Novak, Laurene Landon, David Prak, @o…",Neutral
100 Challenging Algebra Problems &amp; Solutions(Volume 2): Assessment Lessons Fo... https://t.co/KB56tA8yx3 via @amazon,negative
RT @bandung88: Syndicate Smasher [Blu-ray] Cinema Epoch https://t.co/FRUcstRqlg via @amazon,Neutral
@Microsoft overtakes @amazon as second most valuable US #company #traded .   #traders #StockMarket $MSFT $AMZN… https://t.co/DpPOyBJDxc,positive
RT @EdenTrainingUK: We are so happy with our new website we are running a #competition! For a chance to win a £50 @amazon voucher / @Love2s…,positive
@kolioo7 @amazon @gita_its ap ka ye sb yhi rh jaiga or ap jis ramayn ka path krne ko bol rhe h vo  baichare ram swa… https://t.co/hnkJpkNwRY,Neutral
"RT @slpng_giants: Hell, @amazon might stop advertising on Breitbart before this game is over.",negative
"hah. @amazon und der genitiv, aber gleichzeitig passiv aggressiv auf englisch-unkenntnisse knüppeln. https://t.co/DJ8Q43vNKp",Neutral
"RT @slpng_giants: Hell, @amazon might stop advertising on Breitbart before this game is over.",negative
@ZakkWyldeBLS @Spotify @iTunes @AppleMusic @amazon @WyldeAudio @DeathWishCoffee @zakk_sabbath @OzzyOsbourne @GenerationAxe Nice,positive
"RT @RonWyden: Widespread facial recognition is coming, but corporations like @amazon and government agencies don’t have protections in plac…",positive
Save 50 % with promo code 501T4UZT #sale #save #coupo #promocode @amazon Giyach Esports FPS Gaming Mouse – Lightwei… https://t.co/tV1itWJgCU,Neutral
Crazepony Mini Hidden Spy Camera SQ16 1080P... by Crazepony for $21.69 https://t.co/H7Frpt8B5W via @amazon,Neutral
Save 50% with promo code 501T4UZT #sale #save #coupo #promocode @amazon Giyach Esports FPS Gaming Mouse – Lightweig… https://t.co/ENr4zm7duD,Neutral
@reeses @amazon #NotSorry #Sweepstakes @amazon A is best!!,positive
"RT @slpng_giants: Hell, @amazon might stop advertising on Breitbart before this game is over.",negative
AUTOPHIX Code Reader OM126 OBDII OBD2 Scanner $22 with free shipping @Amazon https://t.co/yYRkBpogkQ https://t.co/4KnGHpRoNt,positive
THATS WHY WE NEED TO START BY BOYCOTTING @JEFFBEZOS AND @AMAZON. HIS WEALTH COMES AY OUR EXPENSE. POLITICIANS HAVE… https://t.co/hOUoI5nqI7,Neutral
RT @OliverMcGee: @DonaldJTrumpJr @CNN @MSNBC @CBS @ABC @TPUSA @RealCandaceO .@Amazon 2012! “Jumping The Aisle: How I Became a Black Republi…,Neutral
RT @aj_lanae: Easily one of the best sex positive/Marriage positive stories I've read.  Absolutely worth a look! https://t.co/mCEFxvsRBO vi…,positive
"RT @gladwethoughtof: There is still time to get your #bookcopy of Halloween Pumpkin, where are you?

#ordernow and you can still get this #…",Neutral
RT @ColombiaEmbUSA: Ambassador @PachoSantosC met @b_huseman Vice President for Public Policy of @amazon. They talked about opportunities fo…,negative
"@amazon @AmazonHelp @amazonIN @amazon

Poor Customer service with highly talented Executive doesn't have manners ho… https://t.co/QuRZL9wFYs",positive
"Need a last minute #gift

Halloween Pumpkin, where are you?

Enjoy our imaginative story of a #child preparing to t… https://t.co/joOv3Z1vpX",positive
"RT @cyallowitz: Spend the #weekend with a #vampire action adventure full of #magic &amp; mayhem.

WAR OF NYTEFALL: LOST is now Available!

http…",Neutral
"Corsair Obsidian Serie 1000D Super Tower Fall, Premium gehärtetes Glas und Al... https://t.co/h2JT5vXdUq via @amazon",Neutral
"#order Halloween Pumpkin, where are you? and you can still get this #Halloween #book delivered in time for… https://t.co/IiZqwhHznJ",Neutral
@ZakkWyldeBLS @Rooster_666 @Spotify @iTunes @AppleMusic @amazon @WyldeAudio @DeathWishCoffee @zakk_sabbath… https://t.co/1DgbI9aFhx,Neutral
"Corsair HX1200i PC-Netzteil (Voll-Modulares Kabelmanagement, 80 Plus Platinum... https://t.co/cmstXt0ke7 via @amazon",Neutral
"There is still time to get your #bookcopy of Halloween Pumpkin, where are you?

#ordernow and you can still get thi… https://t.co/QUBaGjJadx",Neutral
"@SteveShea33 @amazon Would love to see how this can be implemented into football (Soccer). 

Any ideas in how I wou… https://t.co/IKNmQwMbgR",positive
Corsair Dominator Platinum DDR4 Hochleistungs-Arbeitsspeicher Kit (mit Domina... https://t.co/Jbv5BaMxqd via @amazon,Neutral
It was not even Halloween in Atom but it still scared the hell out of Sam. https://t.co/LTfqfsH89s via @amazon… https://t.co/FFNbZXeoKP,negative
"ASUS ROG Rampage VI Extreme Gaming Mainboard Sockel X299 (EATX, Intel LGA2066... https://t.co/9RHRb9JhFx via @amazon",negative
"RT @slpng_giants: Hell, @amazon might stop advertising on Breitbart before this game is over.",negative
"Intel Core i9-7900X Prozessor, der X-Serie (bis zu 4,30 GHz, 13,75 MB Intel C... https://t.co/yymJ3Vykop via @amazon",Neutral
"@amazonIN Time + X = Timex
@amazonIN @amazon 

#GreatestFestiveSale https://t.co/ufA06M7C2g",Neutral
"EVGA GeForce GTX 1080 Ti GAMING, 11GB GDDR5X, DX12 OSD Support (PXOC) Grafikk... https://t.co/chgvTwb48T via @amazon",positive
"RT @slpng_giants: Hell, @amazon might stop advertising on Breitbart before this game is over.",negative
@slpng_giants @amazon Winner,positive
"Smallest Hidden Spy Camera,ZTour 1080P Mini S... by ZTour https://t.co/hTnjumPj4I via @amazon",Neutral
"Warum geht ihr von kartonagen weg und verschickt jetzt dicke…""",Neutral
RT @THEbitchiestgay: The Twanymals of Tonaston's Tank (The Tonaston Tales Book 1)   https://t.co/jnRk0aDK5m via @amazon,negative
RT @Cost2Build_UK: We're giving away a £20 @amazon gift card. All you have to do to enter is follow us &amp; RT this post. We’ll announce the w…,Neutral
"RT @ConstanceCorne9: Captivating/ Inspirational &amp; Very Moving
Getting lost in the Amazon Jungle after crashing his plane.
Not knowing the l…",Neutral
Detective PULP Magazines Cover Art Trading Cards Set - Available Now to Order: https://t.co/EXeoVhfnwm via @amazon #PulpCovers #PulpFiction,positive
"RT @slpng_giants: Hell, @amazon might stop advertising on Breitbart before this game is over.",negative
"@amazonIN Time + X = Timex
@amazonIN @amazon 

#GreatestFestiveSale https://t.co/rbftpYK94c",Neutral
"@amazonIN Time + X = Timex
@amazonIN @amazon 

#GreatestFestiveSale https://t.co/46xeb1vvyw",Neutral
"@amazonIN Time + X = Timex
@amazonIN @amazon 

#GreatestFestiveSale https://t.co/VYFiVIvhN9",Neutral
"@amazonIN Time + X = Timex
@amazonIN @amazon 

#GreatestFestiveSale https://t.co/aZQeljomRR",Neutral
"RT @slpng_giants: Hell, @amazon might stop advertising on Breitbart before this game is over.",negative
RT @dr_l_alexandre: On ne réalise pas à quel point les transhumanistes pensent différemment des européens : @JeffBezos considère que @amazo…,Neutral
The Twanymals of Tonaston's Tank (The Tonaston Tales Book 1)   https://t.co/jnRk0aDK5m via @amazon,negative
@remmishgupta @amazonIN @AmazonHelp @amazon This happened with me last year when I ordered a sandwich maker. They s… https://t.co/IP9tzKVJyj,Neutral
"RT @slpng_giants: Hell, @amazon might stop advertising on Breitbart before this game is over.",negative
"@amazonIN Failed to deliverey item in the time frame, status showing \customer refused delivery\"" fact is no deliver… https://t.co/GoxF50ivkC""",negative
RT @Aurelie_JEAN: #ToRead dans @LePoint #LesInvitésDuPoint mon #article sur pourquoi il faut défendre @amazon  pour lutter contre la politi…,Neutral
@nancyehenry @amazon ...and the clarity of your expression. I’m learning something new on every page. Great work!,positive
<U+300C><U+3010><U+624B><U+4F5C><U+308A><U+304A><U+3057><U+3083><U+308C>·<U+66FF><U+3048><U+30B4><U+30E0><U+4ED8><U+304D><U+3011><U+7ACB><U+4F53>W<U+30AC><U+30FC><U+30BC><U+30DE><U+30B9><U+30AF> <U+5927><U+4EBA><U+7528> <U+30CA><U+30C1><U+30E5><U+30E9><U+30EB><U+30C9><U+30EC><U+30B9> (<U+30D4><U+30F3><U+30AF>)<U+300D> <U+3092> 360 <U+3067>@amazon<U+304B><U+3089><U+51FA><U+54C1><U+3057><U+307E><U+3057><U+305F> https://t.co/76nVvT3ZWa,Neutral
<U+300C><U+3010><U+624B><U+4F5C><U+308A><U+304A><U+3057><U+3083><U+308C>·<U+66FF><U+3048><U+30B4><U+30E0><U+4ED8><U+304D><U+3011><U+7ACB><U+4F53>W<U+30AC><U+30FC><U+30BC><U+30DE><U+30B9><U+30AF> <U+5927><U+4EBA><U+7528> <U+30CA><U+30C1><U+30E5><U+30E9><U+30EB><U+30C9><U+30EC><U+30B9> (<U+30A4><U+30A8><U+30ED><U+30FC>&<U+30AA><U+30EC><U+30F3><U+30B8>)<U+300D> <U+3092> 360 <U+3067>@amazon<U+304B><U+3089><U+51FA><U+54C1><U+3057><U+307E><U+3057><U+305F> https://t.co/SYezFJpP1Q,Neutral
RT @mark_riedl: Dear @NipsConference sponsors: do you endorse the message that NIPS is sending to women scientists by not changing it’s nam…,positive
<U+300C><U+3010><U+624B><U+4F5C><U+308A><U+304A><U+3057><U+3083><U+308C>·<U+66FF><U+3048><U+30B4><U+30E0><U+4ED8><U+304D><U+3011><U+7ACB><U+4F53>W<U+30AC><U+30FC><U+30BC><U+30DE><U+30B9><U+30AF> <U+5927><U+4EBA><U+7528> <U+30D5><U+30ED><U+30FC><U+30E9><U+30EB><U+30BF><U+30A4><U+30E0> (<U+30D1><U+30FC><U+30D7><U+30EB>)<U+300D> <U+3092> 360 <U+3067>@amazon<U+304B><U+3089><U+51FA><U+54C1><U+3057><U+307E><U+3057><U+305F> https://t.co/03ceDxxHBA,Neutral
<U+300C><U+3010><U+624B><U+4F5C><U+308A><U+304A><U+3057><U+3083><U+308C>·<U+66FF><U+3048><U+30B4><U+30E0><U+4ED8><U+304D><U+3011><U+7ACB><U+4F53>W<U+30AC><U+30FC><U+30BC><U+30DE><U+30B9><U+30AF> <U+5927><U+4EBA><U+7528> <U+30D5><U+30ED><U+30FC><U+30E9><U+30EB><U+30BF><U+30A4><U+30E0> (<U+30D6><U+30EB><U+30FC>)<U+300D> <U+3092> 360 <U+3067>@amazon<U+304B><U+3089><U+51FA><U+54C1><U+3057><U+307E><U+3057><U+305F> https://t.co/wa01BhDLJ0,Neutral
"RT @slpng_giants: Hell, @amazon might stop advertising on Breitbart before this game is over.",negative
<U+300C><U+3010><U+624B><U+4F5C><U+308A><U+304A><U+3057><U+3083><U+308C>·<U+66FF><U+3048><U+30B4><U+30E0><U+4ED8><U+304D><U+3011><U+7ACB><U+4F53>W<U+30AC><U+30FC><U+30BC><U+30DE><U+30B9><U+30AF> <U+5927><U+4EBA><U+7528> <U+30D5><U+30ED><U+30FC><U+30E9><U+30EB><U+30BF><U+30A4><U+30E0> (<U+30A4><U+30A8><U+30ED><U+30FC>)<U+300D> <U+3092> 360 <U+3067>@amazon<U+304B><U+3089><U+51FA><U+54C1><U+3057><U+307E><U+3057><U+305F> https://t.co/fQUbLJgGTV,Neutral
"RT @slpng_giants: Hell, @amazon might stop advertising on Breitbart before this game is over.",negative
<U+300C><U+3010><U+624B><U+4F5C><U+308A><U+304A><U+3057><U+3083><U+308C>·<U+66FF><U+3048><U+30B4><U+30E0><U+4ED8><U+304D><U+3011><U+7ACB><U+4F53>W<U+30AC><U+30FC><U+30BC><U+30DE><U+30B9><U+30AF> <U+5927><U+4EBA><U+7528> <U+30D5><U+30ED><U+30FC><U+30E9><U+30EB><U+30BF><U+30A4><U+30E0> (<U+30D4><U+30F3><U+30AF>)<U+300D> <U+3092> 360 <U+3067>@amazon<U+304B><U+3089><U+51FA><U+54C1><U+3057><U+307E><U+3057><U+305F> https://t.co/S5HoW9RVN2,Neutral
Winterlich-romantische Liebesgeschichte. Garantiert für Kuscheltage. Schneefrau küsst Schneemann: Die Madsens von A… https://t.co/LwlM3oRVY3,negative
@rivet_vincent @amazon @Cdiscount @Fnac @AliExpressFr @ArnaultChatel @Audrey_Chatel @Capitaine @destailleurs… https://t.co/QHbSkUQOZr,Neutral
"RT @rotzemardini: ATENCIÓN! Ya está disponible en @amazon LA COMUNIDAD @yzherrera ¿Te atreves a entrar en esta #sociedadsecreta?
https://t.…",Neutral
<U+300C><U+3010><U+624B><U+4F5C><U+308A><U+304A><U+3057><U+3083><U+308C>·<U+66FF><U+3048><U+30B4><U+30E0><U+4ED8><U+304D><U+3011><U+7ACB><U+4F53>W<U+30AC><U+30FC><U+30BC><U+30DE><U+30B9><U+30AF> <U+5927><U+4EBA><U+7528> <U+30CA><U+30C1><U+30E5><U+30E9><U+30EB><U+30C9><U+30EC><U+30B9> (<U+30AA><U+30EC><U+30F3><U+30B8>)<U+300D> <U+3092> 360 <U+3067>@amazon<U+304B><U+3089><U+51FA><U+54C1><U+3057><U+307E><U+3057><U+305F> https://t.co/4iNpwB21yM,Neutral
@slpng_giants @amazon It's likelier that Christopher Hitchens will come back &amp; become born again.,Neutral
Timeqid Hidden Camera Charger | Free 32 GB Me... by Timeqid https://t.co/2jkeTPdZRf via @amazon,positive
"RT @persimew: #IAN1 #IARTG #BYNR #horror #gothic  https://t.co/PN2W3HJHTW #free with #kindleunlimited Angelica leaned over his wife, silk c…",positive
"RT @slpng_giants: Hell, @amazon might stop advertising on Breitbart before this game is over.",negative
@slpng_giants @amazon Lol,Neutral
@nancyehenry @amazon Reading it tonight. I’m always impressed by the depth of your research and,positive
@EdenTrainingUK @amazon @Love2shop_UK This would be so handy for Christmas presents! <U+0001F91E><U+0001F604> https://t.co/EMJKXcZFqH,positive
50% OFF #sale #save #humidifier @amazon Pure Enrichment MistAire Ultrasonic Cool Mist Humidifier - Premium Humidify… https://t.co/6gMsfDVgjl,positive
41% OFF #sale #save #CrockPot #slowcooker #cooking #kitchen @amazon Crock-Pot 6-Quart Cook &amp; Carry Oval Manual Port… https://t.co/TVWHBzRvPA,Neutral
RT @the_best_offer: Save 30 % with promo code 303B3KLC #sale #save #promocode #coupon @amazon Lekesky Laptop Backpack 15.6 Inch Business Tr…,Neutral
RT @EdenTrainingUK: We are so happy with our new website we are running a #competition! For a chance to win a £50 @amazon voucher / @Love2s…,positive
"RT @SurenNaidoo: @mikeschussler @thabileoka @SAInvestmentCo @Ryk_van_Niekerk Even @Naspers were going to invest anyway, esp with the windfa…",Neutral
John R. Neill - Wizard of Oz Art and Illustrations - Trading Cards Set – ON SALE NOW: https://t.co/OHXYCo9xfM via… https://t.co/4AHGOUCFKM,Neutral
"RT @slpng_giants: Hell, @amazon might stop advertising on Breitbart before this game is over.",negative
"RT @slpng_giants: Hell, @amazon might stop advertising on Breitbart before this game is over.",negative
RT @SMichaelDesigns: S.Michael Designs Stainless Steel Heart Dangling Earring S.Michael Designs https://t.co/yuaUKLE8YX via @amazon,positive
RT @SMichaelDesigns: S.Michael Designs Stainless Steel Multi Fringe Earrings S.Michael Designs https://t.co/K8hcFJXRcm via @amazon,positive
"RT @slpng_giants: Hell, @amazon might stop advertising on Breitbart before this game is over.",negative
RT @SMichaelDesigns: S.Michael Designs Stainless Steel Crystal Drop Dangle Earrings S.Michael Desi... https://t.co/mevU7xYYvN via @amazon,positive
"RT @slpng_giants: Hell, @amazon might stop advertising on Breitbart before this game is over.",negative
@slpng_giants @lubiephil @amazon I’d just be happy if they paid their employees fairly.,positive
RT @Advanced_Supply: Yesterday we popped along to the @amazon #Fashion pop-up on Baker Street where customers can use SmileCode (Amazon’s o…,Neutral
"RT @slpng_giants: Hell, @amazon might stop advertising on Breitbart before this game is over.",negative
"@amazon I have been a Prime member for years and spend a lot of money on Amazon.

I will drop my membership and sho… https://t.co/bzQ7KSB9yB",Neutral
"RT @slpng_giants: Hell, @amazon might stop advertising on Breitbart before this game is over.",negative
